TIME(2022/01/27 09:39:32.995),TIMETICK(f=10000000),FPOGX,FPOGY
0.0,2269076152699,0.34978,-0.02134
0.00822,2269076234852,0.34879,-0.01822
0.01407,2269076293313,0.35036,-0.02052
0.02071,2269076359667,0.35172,-0.02256
0.02664,2269076419127,0.35455,-0.02628
0.03328,2269076485410,0.35894,-0.02223
0.04008,2269076553580,0.36245,-0.01871
0.04666,2269076619197,0.3642,-0.01512
0.05315,2269076684102,0.36582,-0.0133
0.06055,2269076758051,0.36722,-0.01174
0.06819,2269076834568,0.36878,-0.00912
0.07417,2269076894441,0.36979,-0.00846
0.08093,2269076962008,0.37067,-0.00789
0.08769,2269077029648,0.37086,-0.00766
0.09422,2269077094821,0.37133,-0.00599
0.10114,2269077164045,0.37175,-0.00449
0.10757,2269077228345,0.37312,-0.00216
0.11571,2269077309701,0.37356,-0.00138
0.121,2269077362688,0.37404,-0.00085
0.12691,2269077421727,0.37364,-0.00015
0.13374,2269077490047,0.37414,0.00159
0.14047,2269077557398,0.3746,0.0032
0.14723,2269077624927,0.37485,0.00454
0.15416,2269077694183,0.37646,0.00365
0.16162,2269077768895,0.37793,0.00283
0.16747,2269077827377,0.37798,0.0046
0.17398,2269077892427,0.37835,0.00448
0.18175,2269077970090,0.37869,0.00447
0.18909,2269078043477,0.37773,0.00498
0.19536,2269078106203,0.37655,0.00533
0.20058,2269078158473,0.37534,0.00583
0.20871,2269078239802,0.37535,0.00759
0.21445,2269078297131,0.37455,0.00839
0.22241,2269078376764,0.37387,0.00904
0.2282,2269078434587,0.37341,0.00888
0.2355,2269078507623,0.37271,0.00973
0.24089,2269078561508,0.37204,0.01052
0.24846,2269078637212,0.37203,0.01194
0.25476,2269078700237,0.37162,0.01126
0.26094,2269078762033,0.35148,0.02678
0.26836,2269078836297,0.34254,0.02736
0.27531,2269078905776,0.33873,0.03215
0.28107,2269078963314,0.33651,0.03519
0.28781,2269079030796,0.33574,0.0287
0.29436,2269079096217,0.3375,0.02199
0.30234,2269079175995,0.33893,0.0169
0.30939,2269079246573,0.33753,0.01738
0.31554,2269079308076,0.33785,0.01508
0.32239,2269079376538,0.33789,0.01386
0.32951,2269079447739,0.33886,0.01198
0.33559,2269079508526,0.33925,0.00892
0.34164,2269079569125,0.3393,0.00668
0.34796,2269079632298,0.33823,0.00524
0.35483,2269079700914,0.33768,0.00507
0.36224,2269079775117,0.33751,0.0044
0.36816,2269079834307,0.33645,0.00652
0.37477,2269079900323,0.33687,0.00381
0.38216,2269079974163,0.33713,0.00164
0.38857,2269080038331,0.33699,0.00119
0.39476,2269080100280,0.33665,-0.00042
0.40245,2269080177117,0.33627,-0.00187
0.40886,2269080241279,0.33574,-0.00167
0.41539,2269080306575,0.33479,-0.00165
0.42227,2269080375350,0.33412,-0.00197
0.42891,2269080441727,0.33435,-4e-05
0.43581,2269080510701,0.33438,-0.00071
0.44273,2269080580037,0.33441,-0.00133
0.44899,2269080642522,0.33547,-0.00216
0.45564,2269080709067,0.33602,-0.0011
0.46188,2269080771523,0.33658,-0.00025
0.46854,2269080837954,0.3372,0.00011
0.4754,2269080906741,0.3374,0.00015
0.48224,2269080975048,0.33761,0.00021
0.49019,2269081054505,0.33804,0.00011
0.49612,2269081113855,0.33782,-0.00031
0.50211,2269081173646,0.33746,-0.00049
0.51077,2269081260353,0.33759,-0.00014
0.51552,2269081307767,0.33762,0.00115
0.52396,2269081392239,0.33765,0.00236
0.52975,2269081450162,0.33766,0.00131
0.53676,2269081520286,0.33745,0.00087
0.54417,2269081594376,0.33729,0.00042
0.5493,2269081645635,0.33752,0.00089
0.5565,2269081717683,0.3378,0.0013
0.56282,2269081780933,0.33802,0.00176
0.56995,2269081852138,0.33824,0.00224
0.57594,2269081912052,0.33831,0.00219
0.58252,2269081977910,0.33811,0.00162
0.58928,2269082045377,0.33776,0.00173
0.59653,2269082117867,0.33793,3e-05
0.60428,2269082195415,0.33809,-0.00168
0.60931,2269082245748,0.33799,-0.00136
0.61691,2269082321790,0.33746,-0.00076
0.62373,2269082389973,0.3369,-7e-05
0.63025,2269082455121,0.33679,0.00083
0.63626,2269082515298,0.33676,0.00201
0.64429,2269082595533,0.33675,0.00304
0.6514,2269082666585,0.33628,0.00418
0.65646,2269082717343,0.33586,0.00555
0.66432,2269082795807,0.33559,0.00668
0.67047,2269082857381,0.33571,0.00671
0.67635,2269082916151,0.33597,0.00631
0.68303,2269082982960,0.33617,0.00604
0.69014,2269083054027,0.33666,0.00404
0.69673,2269083119995,0.33704,0.00491
0.70299,2269083182479,0.33746,0.00569
0.70981,2269083250803,0.3372,0.00638
0.71809,2269083333622,0.33737,0.00693
0.72327,2269083385371,0.33761,0.00743
0.7312,2269083464650,0.33773,0.00704
0.7373,2269083525701,0.33868,0.00704
0.74384,2269083591075,0.33951,0.00726
0.75101,2269083662744,0.3398,0.006
0.75832,2269083735825,0.34017,0.00699
0.76413,2269083794024,0.34048,0.00806
0.77113,2269083863930,0.3399,0.00894
0.77789,2269083931536,0.33945,0.00866
0.78413,2269083994057,0.33901,0.00837
0.79025,2269084055194,0.33882,0.00872
0.79674,2269084120071,0.33831,0.01049
0.80363,2269084188983,0.33778,0.01233
0.81079,2269084260532,0.33679,0.05816
0.81747,2269084327360,0.29997,0.27599
0.82538,2269084406419,0.28652,0.35226
0.83038,2269084456551,0.21891,0.46532
0.83856,2269084538252,0.21891,0.46532
0.84447,2269084597319,0.21891,0.46532
0.8515,2269084667610,0.0,0.0
0.85867,2269084739453,0.0,0.0
0.86485,2269084801199,0.0,0.0
0.87146,2269084867312,0.0,0.0
0.87808,2269084933427,0.0,0.0
0.8858,2269085010691,0.0,0.0
0.89066,2269085059142,0.0,0.0
0.89767,2269085129456,0.0,0.0
0.90396,2269085192277,0.0,0.0
0.91093,2269085261980,0.0,0.0
0.91731,2269085325748,0.08946,0.40058
0.92404,2269085393138,0.11928,0.53411
0.93141,2269085466731,0.17835,0.78848
0.93829,2269085535643,0.15032,0.81373
0.94531,2269085605739,0.14098,0.82215
0.95209,2269085673511,0.14705,0.8301
0.95833,2269085735905,0.15061,0.83906
0.9659,2269085811695,0.1536,0.84352
0.97133,2269085865983,0.15387,0.85012
0.98,2269085952552,0.15351,0.84674
0.98524,2269086005040,0.15416,0.84199
0.99098,2269086062420,0.15708,0.84682
0.99896,2269086142342,0.15708,0.84682
1.00621,2269086214764,0.15708,0.84682
1.01118,2269086264466,0.15708,0.84682
1.01817,2269086334348,0.15471,0.85331
1.02499,2269086402607,0.15471,0.85331
1.03218,2269086474431,0.15471,0.85331
1.0379,2269086531674,0.0,0.0
1.04475,2269086600213,0.0,0.0
1.05257,2269086678274,0.0,0.0
1.05952,2269086747885,0.0,0.0
1.06584,2269086811112,0.0,0.0
1.07307,2269086883454,0.0,0.0
1.07918,2269086944451,0.0,0.0
1.08714,2269087024149,0.0,0.0
1.09198,2269087072424,0.0,0.0
1.09914,2269087144037,0.0,0.0
1.10533,2269087206038,0.0,0.0
1.1116,2269087268664,0.0,0.0
1.11832,2269087335751,0.0,0.0
1.12598,2269087412385,0.0,0.0
1.13181,2269087470641,0.0,0.0
1.13847,2269087537446,0.0,0.0
1.14554,2269087608008,0.0,0.0
1.15222,2269087674934,0.0,0.0
1.1586,2269087738714,0.0,0.0
1.16602,2269087812834,0.0,0.0
1.17245,2269087877229,0.0,0.0
1.17905,2269087943123,0.0,0.0
1.18585,2269088011128,0.0,0.0
1.19293,2269088081952,0.0,0.0
1.19992,2269088151853,0.0,0.0
1.20587,2269088211381,0.0,0.0
1.21242,2269088276883,0.0,0.0
1.21996,2269088352196,0.0,0.0
1.22554,2269088408034,0.0,0.0
1.23225,2269088475274,0.0,0.0
1.23909,2269088543532,0.0,0.0
1.24565,2269088609238,0.0,0.0
1.25336,2269088686220,0.0,0.0
1.25972,2269088749886,0.0,0.0
1.26579,2269088810513,0.0,0.0
1.27353,2269088887940,0.0,0.0
1.28023,2269088954873,0.0,0.0
1.28746,2269089027215,0.0,0.0
1.29411,2269089093760,0.0,0.0
1.29987,2269089151272,0.0,0.0
1.30673,2269089220010,0.0,0.0
1.31303,2269089283017,0.0,0.0
1.32161,2269089368816,0.0,0.0
1.3271,2269089423610,0.0,0.0
1.3334,2269089486641,0.0,0.0
1.33952,2269089547862,0.0,0.0
