TIME(2022/02/09 15:49:20.545),TIMETICK(f=10000000),FPOGX,FPOGY
1.06415,724209596787,0.34731,0.13721
1.07013,724209656530,0.34745,0.13727
1.07684,724209723373,0.34758,0.13737
1.08325,724209787874,0.34706,0.13788
1.09015,724209856295,0.34689,0.13798
1.0968,724209922998,0.34675,0.138
1.104,724209995125,0.34707,0.13735
1.11017,724210056676,0.3471,0.13661
1.11737,724210128695,0.34713,0.13587
1.12933,724210248345,0.34713,0.13587
1.13263,724210281594,0.34713,0.13587
1.14526,724210407689,0.34713,0.13587
1.15198,724210474845,0.35534,0.13927
1.16229,724210577840,0.35534,0.13927
1.16962,724210651347,0.35534,0.13927
1.17584,724210713614,0.3836,0.07556
1.18256,724210780322,0.38383,0.07467
1.18536,724210808835,0.39068,0.07305
1.19067,724210862068,0.38992,0.06996
1.19714,724210926298,0.38947,0.06811
1.20398,724210995097,0.3919,0.06853
1.21082,724211063219,0.3929,0.07122
1.21747,724211129889,0.3936,0.07348
1.224,724211195331,0.39336,0.07584
1.2309,724211264132,0.39239,0.07779
1.23761,724211331205,0.39159,0.0794
1.24536,724211408745,0.39233,0.07902
1.25281,724211483121,0.39274,0.08021
1.25769,724211531799,0.39312,0.08109
1.2644,724211598846,0.3939,0.0808
1.27106,724211665898,0.39369,0.08048
1.27783,724211733412,0.39351,0.08019
1.28442,724211799475,0.39401,0.08131
1.2915,724211870309,0.39433,0.08097
1.29883,724211943550,0.3946,0.08076
1.30457,724212000638,0.39451,0.08081
1.31158,724212070874,0.39481,0.08158
1.31787,724212133566,0.39511,0.08212
1.32465,724212201225,0.39574,0.08175
1.33136,724212268869,0.39572,0.08173
1.33917,724212346756,0.39572,0.08158
1.34503,724212405159,0.39572,0.08158
1.35406,724212495582,0.39572,0.08158
1.36383,724212593330,0.39572,0.08158
1.37054,724212660478,0.39876,0.08215
1.37756,724212730530,0.39876,0.08215
1.38556,724212810456,0.39876,0.08215
1.39453,724212900497,0.0,0.0
1.4024,724212979107,0.0,0.0
1.40656,724213020858,0.0,0.0
1.4118,724213072791,0.0,0.0
1.4184,724213139184,0.0,0.0
1.42499,724213205129,0.0,0.0
1.43182,724213273519,0.0,0.0
1.43842,724213339503,0.0,0.0
1.44641,724213418895,0.0,0.0
1.4527,724213482082,0.0,0.0
1.45868,724213541622,0.0,0.0
1.46735,724213628532,0.0,0.0
1.47565,724213711752,0.0,0.0
1.48254,724213780388,0.24192,-0.0313
1.48956,724213850584,0.35579,0.09592
1.49371,724213892112,0.53876,0.1935
